"Jahr","Alter","Geschlecht","qx"
1950,10,"M",0.000788
1950,11,"M",0.000652
1950,12,"M",0.000699
1950,13,"M",0.000893
1950,14,"M",0.001005
1950,15,"M",0.001224
1950,16,"M",0.001448
1950,17,"M",0.001797
1950,18,"M",0.001787
1950,19,"M",0.002229
1950,20,"M",0.002608
1950,21,"M",0.00239
1950,22,"M",0.00219
1950,23,"M",0.00239
1950,24,"M",0.002086
1950,25,"M",0.002068
1950,26,"M",0.002648
1950,27,"M",0.002436
1950,28,"M",0.002203
1950,29,"M",0.002294
1950,30,"M",0.002975
1950,31,"M",0.002173
1950,32,"M",0.002332
1950,33,"M",0.002503
1950,34,"M",0.002182
1950,35,"M",0.003385
1950,36,"M",0.002671
1950,37,"M",0.003271
1950,38,"M",0.00342
1950,39,"M",0.003921
1950,40,"M",0.003858
1950,41,"M",0.00403
1950,42,"M",0.004709
1950,43,"M",0.004641
1950,44,"M",0.005834
1950,45,"M",0.005819
1950,46,"M",0.006263
1950,47,"M",0.008152
1950,48,"M",0.007897
1950,49,"M",0.0088
1950,50,"M",0.010819
1950,51,"M",0.011284
1950,52,"M",0.012288
1950,53,"M",0.013762
1950,54,"M",0.014394
1950,55,"M",0.015498
1950,56,"M",0.017335
1950,57,"M",0.017146
1950,58,"M",0.019466
1950,59,"M",0.02184
1950,60,"M",0.022191
1950,61,"M",0.024311
1950,62,"M",0.029154
1950,63,"M",0.030889
1950,64,"M",0.032098
1950,65,"M",0.034824
1950,66,"M",0.034673
1950,67,"M",0.042931
1950,68,"M",0.045204
1950,69,"M",0.050103
1950,70,"M",0.054402
1950,71,"M",0.05578
1950,72,"M",0.062394
1950,73,"M",0.072028
1950,74,"M",0.077933
1950,75,"M",0.078566
1950,76,"M",0.086761
1950,77,"M",0.096259
1950,78,"M",0.106206
1950,79,"M",0.116808
1950,80,"M",0.12272
1950,81,"M",0.136692
1950,82,"M",0.158879
1950,83,"M",0.16562
1950,84,"M",0.181818
1950,85,"M",0.186335
1950,86,"M",0.20539
1950,87,"M",0.23289
1950,88,"M",0.24103
1950,89,"M",0.262577
1950,90,"M",0.237467
1950,91,"M",0.253672
1950,92,"M",0.293103
1950,93,"M",0.298701
1950,94,"M",0.382022
1950,95,"M",0.364964
1950,0,"F",0.057781
1950,1,"F",0.004656
